,Description,Homepage,License,GNU?
Ack,"grep-like program specifically for large source trees",https://metacpan.org/release/ack,"Other,License:GPLv2orlater,License:GPLv2",
Acm,"Aerial combat simulation game.",https://www.gnu.org/software/acm/,"License:GPLv2orlater,License:GPLv3orlater",[[File:Heckert_gnu.small.png|30px]]
Acme,"Provides support for special keys on laptops",http://www.hadess.net/misc-code.php3,License:GPLv2orlater,
Acme-Bleach,"Perl module for really clean programs",https://metacpan.org/release/Acme-Bleach,Other,
Acme-Damn,"Perl module to unbless objects",https://metacpan.org/release/Acme-Damn,Other,
Acme-EyeDrops,"funny way for visual programming in Perl",https://metacpan.org/release/Acme-EyeDrops,Other,
Acme-POE-Knee,"Time sliced pony race using the POE event loop",https://metacpan.org/release/Acme-POE-Knee,Other,
Acme-constant,"module that makes inconstant constants, except actually not",https://metacpan.org/release/Acme-constant,License:Expat,
Acmemail,"Multiuser IMAP/POP3 to Web gateway MUA",http://acmemail.sourceforge.net/,Perl,
Acon,"Displays Arabic text",http://members.tripod.com/ahmedahamid/arabic/arabic.html,License:GPLv2,
"AcoustID fingerprinter","Acoustid fingerprinter",http://wiki.acoustid.org/wiki/Fingerprinter,"Other,License:GPLv2orlater",
Acovea,"Compiler optimization tool",https://github.com/Acovea/libacovea,License:GPLv2,
"Acpi call","Kernel module that enables you to call ACPI methods",https://github.com/mkottman/acpi_call,License:GPLv3orlater,
AcpiTool,"A versatile command line ACPI client for Linux.",http://freeunix.dyndns.org:8000/site2/acpitool.shtml,License:GPLv2orlater,
Acsccid,"PC/SC driver for ACS USB CCID smart card readers",http://acsccid.sourceforge.net/,"License:ISC,Other,License:LGPLv2orlater,License:GPLv3",
Actdiag,"generate activity-diagram image file from spec-text file",http://blockdiag.com/,Other,
ActiViz.NET,"ActiViz.NET documentation",http://www.kitware.com/products/avdownload.php,Other,
Actim,"Provides the ability to transfer files and execute commands via e-mail.",http://exom.sourceforge.net,License:GPLv2orlater,
"Action Mailer","a framework for designing email-service layers.",http://rubyforge.org/projects/actionmailer/,License:Expat,
"Action Query","jQuery and ActiveRecord, sitting in a tree...",http://github.com/nakajima/action-query,License:Expat,
"Actionpack-action caching","action caching for Action Pack",https://github.com/rails/actionpack-action_caching,License:Expat,
Activation,"JavaBeans™ Activation Framework",https://www.gnu.org/software/classpathx/jaf/,License:GPLv3,
Active,"Free groupware",http://www.active.org.au/doc/,License:GPLv2,
"Active Calendar","Generates calendars as HTML tables",https://github.com/joechrysler/calendar/tree/master/Examples/activecalendar,License:LGPL,
"Active Resources","provides a coherent wrapper object-relational mapping for REST web services.",http://code.google.com/p/pyactiveresource/,License:Expat,
"Active Spam Killer","Spam filter",http://www.paganini.net/ask/,License:GPLv2orlater,
Active-x-obfuscator,"Safely obfuscate the string 'ActiveX' inside of JavaScript code",https://github.com/felixge/node-active-x-obfuscator,License:Expat,
"ActiveMQ ActiveIO","ActiveMQ ActiveIO protocol implementation framework",http://activemq.apache.org/,Other,
"ActiveMQ Protocol Buffers Plugin","ActiveMQ Protocol Buffers Maven plugin",http://activemq.apache.org/,Other,
Activeldap,"ActiveLdap is a object-oriented API to LDAP",https://rubygems.org/gems/activeldap,"Other,License:GPLv2orlater",
"Activerecord-deprecated finders","deprecated finder APIs extracted from Rails Active Record.",https://github.com/rails/activerecord-deprecated_finders,Other,
Activity-log-manager,"blacklist configuration user interface for Zeitgeist",https://launchpad.net/history-manager,License:GPLv2orlater,
"Actor platform","multiplatform text, photo and voice message server",https://github.com/actorapp/actor-platform,License:AGPLv3,
"Acts as Audited","an ActiveRecord extension that logs all changes to your models in an audits table.",http://github.com/collectiveidea/acts_as_audited,License:Expat,
"Acts as api","makes creating XML/JSON responses in Rails 3 easy and fun",https://github.com/fabrik42/acts_as_api,License:Expat,
"Acts as fu","When you need a dash of ActiveRecord and nothing more.",http://github.com/nakajima/acts_as_fu,License:Expat,
Acts-as-taggable-on,"provides advanced tagging for Rails",https://github.com/mbleigh/acts-as-taggable-on,License:Expat,
"Ad-hoc Support Library","a user-space library which provides an API to faciliate implementation of routing protocols for wireless ad-hoc networks in GNU/Linux.",http://aslib.sourceforge.net/,"License:X11,License:GPLv2",
AdPlug,"free AdLib sound library (utils)",http://adplug.sourceforge.net/,"Other,License:LGPLv2orlater,License:GPLv3orlater",
"Ada Components","Toolset for Ada",http://lglwww.epfl.ch/Team/MW/mw_components.html,License:GPLv2,
"Ada Motif binding library","Binding to X Windows and OSF/Motif for the Ada programming language",http://home.arcor.de/hfvogt/programming.html,License:GPLv2orlater,
"Ada Web Server","Ada Web Server documentation",https://libre.adacore.com/libre,"License:BSD 3Clause,License:Expat,License:GPLv3orlater",
AdaControl,"Ada rules controller",http://www.adalog.fr/en/adacontrol.html,"Other,License:GPLv2orlater",
AdaCurses,"Ada binding to the ncurses text interface library: shared library",https://invisible-island.net/ncurses/ncurses-Ada95.html,License:X11,
AdaDoc,"Documentation tool for Ada",http://adadoc.sourceforge.net/,License:GPLv2,
AdaGate,"combination of Sokoban and Portal",https://github.com/fastrgv?tab=repositories,License:GPLv3orlater,
AdaSockets,"Allows for use of sockets in Ada95",http://www.rfc1149.net/devel/adasockets.html.en,"License:GPLv2orlater with exception",
AdaUnits,"Implementation of dimensioned values for Ada",http://www.dmitry-kazakov.de/ada/units.htm,"License:GPLv2orlater with exception",
AdaVenture,"AdaVenture is a kid-friendly retro point & click adventure game written in Ada.",https://github.com/fastrgv/AdaVenture,License:GPLv3,
AdacURL,"Ada95 binding to the 'cURL' library",http://web.archive.org/web/20070403105909/http://www.almroth.com/adacurl/index.html,"License:GPLv2orlater with exception",
"Adaptive Sampling Kit","Adaptive Sampling Kit for big experimental spaces",https://code.google.com/p/adaptive-sampling-kit/,"Other,License:Expat,License:GPLv2",
"Adblock Plus","Ad blocker",https://adblockplus.org/,License:GPLv3,
Adcd,"Small CD player for GNU/Linux.",https://www.nongnu.org/adcd/,License:GPLv2orlater,
"Add custom search engine","Add a custom search engine to the list of available search engines in the search bar and URL bar.",https://github.com/evilpie/add-custom-search-engine,,
Addendat,"Blogging program that can be updated from either a CGI or shell interface",http://deekoo.net/technocracy/addendat/,License:GPLv2,
Addressable,"alternative URI implementation for Ruby",https://rubygems.org/gems/addressable,"Other,License:GPLv2orlater",
Adequate,"Debian package quality testing tool",http://jwilk.net/software/adequate,License:Expat,
Adhoc,"M4 macros to generate general-purpose portable shell scripts.",https://savannah.gnu.org/projects/adhoc/,"License:GPLv3orlater,License:GPLv3orlater with exception",
Adie,"Programmer's text editor",http://www.fox-toolkit.org/adie.html,License:LGPL,
